,重点符号,序号,英文原型,词性,中文释义,音标
837,,2.0,big,adj.,大的,[bɪɡ]
838,,3.0,small,adj.,小的,[smɔːl]
839,*,4.0,tiny,adj.,极小的；微小的,[ˈtaɪni]
840,,5.0,long,adj.,长的,[lɒŋ]
841,,6.0,short,adj.,短的；矮的,[ʃɔːt]
842,,7.0,large,adj.,大的；巨大的,[lɑːdʒ]
843,,8.0,huge,adj.,巨大的；庞大的,[hjuːdʒ]
844,,9.0,wide,adj.,宽阔的,[waɪd]
845,,10.0,thin,adj.,薄的,[θɪn]
846,,11.0,thick,adj.,厚的,[θɪk]
847,,12.0,round,adj.,圆的,[raʊnd]
848,,13.0,deep,adj.,深的,[diːp]
849,,14.0,full,adj.,满的,[fʊl]
850,,15.0,empty,adj.,空的,[ˈempti]
851,,16.0,hard,adj.,硬的,[hɑːd]
852,*,17.0,soft,adj.,柔软的,[sɒft]
853,,18.0,still,adj.,不动的,[stɪl]
854,,19.0,square,n.,正方形 adj. 正方形的,[skweə(r)]
855,,20.0,ring,n.,环形物,[rɪŋ]
856,,21.0,dish,n.,盘,[dɪʃ]
857,,22.0,moon,n.,月状物；月球,[muːn]
858,,23.0,point,n.,点,[pɔɪnt]
859,,1.0,wood,n.,木头，木材（复）树木，森林,[wʊd]
860,,2.0,cotton,n.,棉花 adj. 棉花的，棉质的,[ˈkɒtn]
861,,3.0,silk,n.,（蚕）丝，丝织品,[sɪlk]
862,,4.0,board,n.,木板；布告牌,[bɔːd]
863,,5.0,metal,n.,金属,[ˈmetl]
864,*,6.0,plain,adj.,家常的；普通的,[pleɪn]
865,,7.0,plastic,n.,塑料，塑料制品,[ˈplæstɪk]
866,,8.0,steel,n.,钢，钢铁,[stiːl]
867,,1.0,choose,v.,选择,[tʃuːz]
868,*,2.0,choice,n.,选择；抉择,[tʃɔɪs]
869,,3.0,or,conj.,或；就是；否则,[ɔː(r)]
870,*,5.0,sort,v.,把……分类，拣，选,[sɔːt]
871,,1.0,deal,v.,处理；应付；做生意,[diːl]
872,,2.0,sell,v.,卖，售,[sel]
873,*,3.0,sale,n.,出售,[seɪl]
874,,4.0,serve,v.,招待（顾客等），服务,[sɜːv]
875,*,5.0,service,n.,服务,[ˈsɜːvɪs]
876,,6.0,offer,n.&v.,提供,[ˈɒfə(r)]
877,,7.0,provide,v.,提供,[prəˈvaɪd]
878,,9.0,buy,v.,买,[baɪ]
879,,10.0,afford,v.,负担得起（……的费用）,[əˈfɔːd]
880,,11.0,poor,adj.,贫穷的;可怜的；不好的，差的,[pɔː(r)]
881,,12.0,rich,adj.,富裕的，有钱的,[rɪtʃ]
882,,13.0,worth,adj.,有……价值，值得……的,[wɜːθ]
883,,1.0,bill,n.,账单；（美）钞票，纸币,[bɪl]
884,,2.0,money,n.,钱；货币,[ˈmʌni]
885,,3.0,coin,n.,硬币,[kɔɪn]
886,,4.0,dollar,n.,元（美国、加拿大、澳大利亚等国的货币单位）,[ˈdɒlə(r)]
887,,5.0,cent,n.,美分,[sent]
888,,6.0,gold,n.,黄金,[ɡəʊld]
889,*,7.0,ton,n.,（重量单位）吨,[tʌn]
890,*,8.0,total,n.,合计，总计,[ˈtəʊtl]
891,,9.0,whole,adj.,整个的,[həʊl]
892,,10.0,price,n.,价格，价钱,[praɪs]
893,,11.0,cost,n.,费用，花费，价钱 v. 值（多少钱）；花费,[kɒst]
894,,12.0,cheap,adj.,便宜的；贱的,[tʃiːp]
895,,13.0,expensive,adj.,昂贵的,[ɪkˈspensɪv]
896,*,14.0,value,n.,价值,[ˈvæljuː]
897,,15.0,dear,adj.,贵的,[dɪə(r)]
898,,16.0,free,adj.,免费的,[friː]
899,,17.0,change,v.,兑换,[tʃeɪndʒ]
900,,18.0,weigh,v.,称……的重量；重,[weɪ]
901,*,19.0,weight,n.,重，重量,[weɪt]
902,,20.0,pound,n.,"英镑,磅",[paʊnd]
903,*,21.0,treasure,n.,金银财宝；财富,[ˈtreʒə(r)]
904,*,22.0,wealth,n.,财产，财富,[welθ]
905,,23.0,pay,v.,付钱，给……报酬,[peɪ]
906,*,26.0,pence,n.,(英)便士；美分,[pens]
907,*,27.0,penny,n.,便士；美分,[ˈpeni]
908,,1.0,heat,n.,热 v. 加热,[hiːt]
909,,2.0,cook,n.,炊事员，厨师 v. 烹饪，做饭,[kʊk]
910,,1.0, salt,n.,盐,[sɔːlt]
911,,2.0, sugar,n.,糖,[ˈʃʊɡə(r)]
912,,1.0,dish,n.,盘，碟；盘装菜；盘形物,[dɪʃ]
913,,2.0,bowl,n.,碗,[bəʊl]
914,,3.0,plate,n.,盘子；盆子,[pleɪt]
915,,4.0,cup,n.,杯子,[kʌp]
916,,5.0,bottle,n.,瓶子,[ˈbɒtl]
917,,6.0,box,n.,盒子，箱子,[bɒks]
918,,7.0,basket,n.,篮子,[ˈbɑːskɪt]
919,*,8.0,chopsticks,n.,( pl )筷子,[ˈtʃɒpstɪks]
920,*,9.0,fork,n.,叉，餐叉,[fɔːk]
921,,10.0,knife,n.,小刀,[naɪf]
922,,11.0,spoon,n.,匙，调羹,[spuːn]
923,*,12.0,cooker,n.,炊具（锅、炉灶、烤炉等）,[ˈkʊkə(r)]
924,,1.0,food,n.,食物，食品,[fuːd]
925,,2.0,beef,n.,牛肉,[biːf]
926,,3.0,meat,n.,（猪、牛、羊等的）肉,[miːt]
927,,4.0,pork,n.,猪肉,[pɔːk]
928,,5.0,rice,n.,稻米；米饭,[raɪs]
929,,6.0,noodle,n.,面条,[ˈnuːdl]
930,,7.0,hamburger,n.,汉堡包,[ˈhæmbɜːɡə(r)]
931,,8.0,dumpling,n.,馅类食物,[ˈdʌmplɪŋ]
932,,9.0,egg,n.,蛋；卵,[eɡ]
933,,10.0,pie,n.,甜馅饼,[paɪ]
934,*,11.0,biscuit,n.,饼干,[ˈbɪskɪt]
935,*,12.0,pancake,n.,薄烤饼,[ˈpænkeɪk]
936,,13.0,bread,n.,面包,[bred]
937,*,14.0,sandwich,n.,三明治（夹心，面包片）,[ˈsænwɪtʃ]
938,,15.0,fish,n.,鱼；鱼肉,[fɪʃ]
939,,16.0,butter,n.,黄油，奶油,[ˈbʌtə(r)]
940,,17.0,cake,n.,蛋糕,[keɪk]
941,,18.0,candy,n.,糖果,[ˈkændi]
942,,19.0,vegetable,n.,蔬菜,[ˈvedʒtəbl]
943,*,20.0,cabbage,n.,卷心菜，洋白菜,[ˈkæbɪdʒ]
944,,21.0,tomato,n.,西红柿，番茄,[təˈmɑːtəʊ]
945,,22.0,potato,n.,土豆，马铃薯,[pəˈteɪtəʊ]
946,,23.0,chocolate,n.,巧克力,[ˈtʃɒklət]
947,,24.0,chicken,n.,鸡肉；鸡,[ˈtʃɪkɪn]
948,,25.0,soup,n.,汤,[suːp]
949,,26.0,dish,n.,碟，盘；盘装菜；盘形物,[dɪʃ]
950,,27.0,list,n.,清单，一览表,[lɪst]
951,,28.0,menu,n.,菜单,[ˈmenjuː]
952,,30.0,sweet,n.,甜食；甜点；蜜饯；糖果；芳香 adj. 甜的；新鲜的；可,[swiːt]
953,*,31.0,sausage,n.,香肠，腊肠,[ˈsɒsɪdʒ]
954,*,32.0,ham,n.,火腿,[hæm]
955,*,33.0,hot dog,n.,热狗（红肠面包）,[ˈhɒt dɒɡ]
956,,34.0,salad,n.,沙拉（西餐中的一种凉拌菜）,[ˈsæləd]
957,*,35.0,strawberry,n.,草莓,[ˈstrɔːbəri]
958,*,36.0,watermelon,n.,西瓜,[ˈwɔːtəmelən]
959,,1.0,water,n.,水,[ˈwɔːtə(r)]
960,,2.0,milk,n.,牛奶 v. 挤奶,[mɪlk]
961,,3.0,juice,n.,汁，液,[dʒuːs]
962,,4.0,orange,n.,橘子，橙子，橘汁,[ˈɒrɪndʒ]
963,,5.0,coffee,n.,咖啡,[ˈkɒfi]
964,,6.0,drink,n.,饮料；喝酒,[drɪŋk]
965,,7.0,coke,n.,可口可乐,[kəʊk]
966,,9.0,tea,n.,茶；茶叶,[tiː]
967,,10.0,wine,n.,酒,[waɪn]
968,,11.0,spring,n.,泉水，泉;春天，春季,[sprɪŋ]
969,*,12.0,lemonade,n.,柠檬水,[ˌleməˈneɪd]
970,,1.0,breakfast,n.,早饭,[ˈbrekfəst]
971,,2.0,lunch,n.,午饭，午餐,[lʌntʃ]
972,,3.0,dinner,n.,正餐，宴会,[ˈdɪnə(r)]
973,,4.0,feed,v.,喂（养）；饲（养）,[fiːd]
974,,5.0,delicious,adj.,美味的，可口的,[dɪˈlɪʃəs]
975,,6.0,fresh,adj.,新鲜的,[freʃ]
976,,7.0,sour,adj.,酸的,[ˈsaʊə(r)]
977,,8.0,sweet,adj.,甜的；新鲜的；可爱的；亲切的,[swiːt]
978,,9.0,full,adj.,满的，充满的；完全的,[fʊl]
979,,10.0,hungry,adj.,（饥）饿的,[ˈhʌŋɡri]
980,,11.0,thirsty,adj.,渴的,[ˈθɜːsti]
981,*,1.0,brain,n.,脑（子）,[breɪn]
982,,2.0,eye,n.,眼睛,[aɪ]
983,,3.0,nose,n.,鼻,[nəʊz]
984,,4.0,mouth,n.,嘴，口,"[maʊθ , maʊð]"
985,,5.0,ear,n.,耳朵，耳状物；听力，听觉,[ɪə(r)]
986,,6.0,face,n.,脸,[feɪs]
987,,7.0,hair,n.,头发,[heə(r)]
988,,8.0,tooth ,n.,牙齿,[tuːθ]
989,,9.0,head,n.,头；头脑,[hed]
990,,10.0,body,n.,身体,[ˈbɒdi]
991,,11.0,leg,n.,腿；腿脚；支柱,[leɡ]
992,,12.0,arm,n.,臂；支架,[ɑːm]
993,,13.0,knee,n.,膝盖,[niː]
994,,14.0,hand,n.,手；指针,[hænd]
995,,15.0,foot ,n.,足，脚；英尺,[fʊt]
996,,16.0,finger,n.,手指,[ˈfɪŋɡə(r)]
997,,17.0,heart,n.,心脏；心,[hɑːt]
998,,18.0,neck,n.,脖子，颈,[nek]
999,*,19.0,stomach,n.,胃，胃部,[ˈstʌmək]
1000,,20.0,back,n.,背后，后部；背,[bæk]
1001,*,21.0,blood,n.,血，血液,[blʌd]
1002,*,22.0,chest,n.,箱子；盒子；胸部,[tʃest]
1003,*,23.0,shoulder,n.,肩膀,[ˈʃəʊldə(r)]
1004,,1.0,health,n.,健康，卫生,[helθ]
1005,,2.0,healthy,adj.,健康的，健壮的,[ˈhelθi]
1006,,3.0,fine,adj.,（身体）健康的；晴朗的；美好的；细小的,[faɪn]
1007,,4.0,fit,adj.,健康的；合适的,[fɪt]
1008,,5.0,ill,adj.,有病的；不健康的,[ɪl]
1009,,6.0,illness,n.,疾病,[ˈɪlnəs]
1010,,7.0,sick,adj.,有病的，患病的；（想）呕吐的,[sɪk]
1011,,8.0,dead,adj.,死的；无生命的,[ded]
1012,,9.0,die,v.,死,[daɪ]
1013,,10.0,blind,adj.,瞎的,[blaɪnd]
1014,*,11.0,deaf,adj.,聋的,[def]
1015,*,15.0,breath,n.,气息；呼吸,[breθ]
1016,,16.0,breathe,v.,呼吸,[briːð]
1017,*,17.0,condition,n.,条件，状况,[kənˈdɪʃn]
1018,,18.0,death,n.,死,[deθ]
1019,,1.0,stomachache,n.,胃疼,[ˈstʌməkeɪk]
1020,,2.0,toothache,n.,牙疼,[ˈtuːθeɪk]
1021,,3.0,headache,n.,头痛,[ˈhedeɪk]
1022,,4.0,cough,v.,咳嗽,[kɒf]
1023,,5.0,fever,n.,发烧；发热,[ˈfiːvə(r)]
1024,,6.0,flu,n.,流行性感冒,[fluː]
1025,,9.0,cancer,n.,癌症,[ˈkænsə(r)]
1026,,1.0,ache,v.&n.,痛，疼痛,[eɪk]
1027,,2.0,pain,n.,疼;疼痛,[peɪn]
1028,,3.0,hurt,v.,受伤，伤害；伤……的感情,[hɜːt]
1029,*,4.0,wound,n.,创伤，伤口,"[waʊnd , wuːnd]"
1030,,5.0,smoke,n.,烟 v. 吸烟，冒烟,[sməʊk]
1031,,6.0,wounded,adj.,受伤的,[ˈwuːndɪd]
1032,,7.0,bitter,adj.,有苦味的；痛苦的，难过的；严酷的,[ˈbɪtə(r)]
1033,,1.0,medicine,n.,药,[ˈmedsn]
1034,*,3.0,drug,n.,毒品；药，药物,[drʌɡ]
1035,*,1.0,operation,n.,手术，操作,[ˌɒpəˈreɪʃn]
1036,*,2.0,treatment,n.,治疗，疗法,[ˈtriːtmənt]
1037,,3.0,medical,adj.,医学的，医疗的,[ˈmedɪkl]
1038,,1.0,weather,n.,天气,[ˈweðə(r)]
1039,,2.0,sunny,adj.,晴朗的；阳光充足的,[ˈsʌni]
1040,,3.0,cloudy,adj.,多云的，阴天的,[ˈklaʊdi]
1041,,4.0,wind,n.,风,"[wɪnd , waɪnd]"
1044,,7.0,snowy,adj.,下雪的；多（积）雪的；雪（白）的,[ˈsnəʊi]
1045,,8.0,rain,v.,下雨； n. 雨水，雨,[reɪn]
1046,,9.0,rainy,adj.,下雨的；多雨的,[ˈreɪni]
1047,,10.0,dry,adj.,干的；干燥的,[draɪ]
1048,,11.0,wet,adj.,湿的，潮的,[wet]
1049,,12.0,cold,adj.,冷的，寒的,[kəʊld]
1050,,13.0,hot,adj.,热的,[hɒt]
1051,,14.0,warm,adj.,暖和的，温暖的；热情的,[wɔːm]
1052,,15.0,cool,adj.,凉的，凉爽的；酷,[kuːl]
1053,,16.0,lift,v.,举起，抬起,[lɪft]
1054,,17.0,shine,v.,发光，照耀；擦亮,[ʃaɪn]
1055,,18.0,shower,n.,阵雨；淋浴,[ˈʃaʊə(r)]
1056,,19.0,storm,n.,风暴，暴（风）雨,[stɔːm]
1057,,20.0,zero,n.,零度；零；零点,[ˈzɪərəʊ]
1058,,21.0,temperature,n.,温度,[ˈtemprətʃə(r)]
1059,,22.0,degree,n.,程度；度数,[dɪˈɡriː]
1060,,23.0,heat,n.,热,[hiːt]
1061,,24.0,weather,n.,天气,[ˈweðə(r)]
1062,,1.0,film,n.,电影；影片；胶卷,[fɪlm]
1063,,2.0,movie,n.,（口语）电影,[ˈmuːvi]
1064,,3.0,act,v.,做事，行动；（戏）表演，扮演，（角色），演出（戏）,[ækt]
1065,*,5.0,role,n.,角色,[rəʊl]
1066,,6.0,action,n.,行动,[ˈækʃn]
1067,,7.0,actor,n.,(男)演员,[ˈæktə(r)]
1068,,8.0,director,n.,导演；所长，处长，主任；董事,[dəˈrektə(r)]
1069,,9.0,hero,n.,英雄，勇士，勇主角,[ˈhɪərəʊ]
1070,,10.0,set,v.,安置；释放,[set]
1071,,11.0,dance,n.,跳舞，舞蹈 v. 跳舞,[dɑːns]
1072,,12.0,sing,v.,唱，唱歌,[sɪŋ]
1073,,13.0,song,n.,歌曲；歌唱,[sɒŋ]
1074,,14.0,play,n.,戏曲，玩耍,[pleɪ]
1075,,16.0,boring,adj.,无聊的，乏味的,[ˈbɔːrɪŋ]
1076,,1.0,programme,n.,节目；项目,[ˈprəʊɡræm]
1077,,2.0,advertising,n.,广告 adj. 广告的,[ˈædvətaɪzɪŋ]
1078,,3.0,advertisement,n.,广告,[ədˈvɜːtɪsmənt]
1079,,4.0,show,n.,展览；表演,[ʃəʊ]
1080,,5.0,interview,v.,采访，会见,[ˈɪntəvjuː]
1081,,6.0,report,n.&v.,报道，报告,[rɪˈpɔːt]
1082,,7.0,loud,adj.,（声音）响亮的,[laʊd]
1083,,1.0,instrument,n.,乐器,[ˈɪnstrəmənt]
1084,,2.0,balloon,n.,气球,[bəˈluːn]
1085,*,3.0,drum,n.,鼓,[drʌm]
1086,,4.0,piano,n.,钢琴,"[piˈænəʊ , ˈpjɑːnəʊ]"
1087,,5.0,guitar,n.,吉他，六弦琴,[ɡɪˈtɑː(r)]
1088,*,6.0,violin,n.,小提琴,[ˌvaɪəˈlɪn]
1089,,9.0,celebrate,v.,庆祝,[ˈselɪbreɪt]
1090,,1.0,music,n.,音乐，乐曲,[ˈmjuːzɪk]
1091,,2.0,concert,n.,音乐会；演奏会,[ˈkɒnsət]
1092,,3.0,beat,n.,（音乐）节拍,[biːt]
1093,,4.0,popular,adj.,流行的，大众的，受欢迎的,[ˈpɒpjələ(r)]
1094,,5.0,pop,adj.,(口语)（音乐、艺术等）大众的，通俗的,[pɒp]
1095,*,6.0,chant,n.,圣歌,[tʃɑːnt]
1096,*,7.0,record,n.,记录；唱片,"[ˈrekɔːd , rɪˈkɔːd]"
1097,,1.0,sport,n.,体育运动，锻炼；（复、英）运动会,[spɔːt]
1098,,2.0,sports,n.,运动会,[spɔːts]
1099,,3.0,match,n.,比赛，竞赛；火柴,[mætʃ]
1100,,4.0,competition,n.,比赛，竞赛；竞争,[ˌkɒmpəˈtɪʃn]
1101,,5.0,race,n.,赛跑，竞赛,[reɪs]
1102,,6.0,game,n.,运动；比赛；游戏,[ɡeɪm]
1103,,7.0,ball,n.,球,[bɔːl]
1104,,8.0,basketball,n.,篮球,[ˈbɑːskɪtbɔːl]
1105,,9.0,football,n.,(英式)足球，（美式）橄榄球,[ˈfʊtbɔːl]
1106,,10.0,volleyball,n.,排球,[ˈvɒlibɔːl]
1107,,11.0,tennis,n.,网球,[ˈtenɪs]
1108,*,13.0,baseball,n.,棒球,[ˈbeɪsbɔːl]
1109,,14.0,chess,n.,棋,[tʃes]
1110,,15.0,skate,v.,溜冰，滑冰,[skeɪt]
1111,,16.0,swim,v.,游泳，游,[swɪm]
1112,,17.0,swimming,n.,游泳,[ˈswɪmɪŋ]
1113,,18.0,jump,v.,跳跃；惊起；猛扑,[dʒʌmp]
1114,,19.0,kick,v.,踢,[kɪk]
1115,,20.0,play,v.,玩；打（球）；播放；游戏,[pleɪ]
1116,,21.0,swing,n.,秋千,[swɪŋ]
1117,,1.0,travel,n.,旅行,[ˈtrævl]
1118,,2.0,trip,n.,旅行，旅程,[trɪp]
1119,,3.0,tour,n.,参观，观光，旅行,[tʊə(r)]
1120,,4.0,visit,n.&v.,参观，拜访，访问,[ˈvɪzɪt]
1121,,5.0,visitor,n.,访问者，参观者,[ˈvɪzɪtə(r)]
1122,,7.0,sight,n.,情景，风景；视力,[saɪt]
1123,,10.0,relax,v.,放松，轻松,[rɪˈlæks]
1124,*,11.0,fantastic,adj.,奇特的；（口语）极好的，美妙的，很棒的,[fænˈtæstɪk]
1125,,12.0,ticket,n.,票；卷,[ˈtɪkɪt]
1126,,13.0,traveler,n.,旅行者；观光者,['træv(ə)lə]
1127,,14.0,abroad,adv.,到（在）国外；海外,[əˈbrɔːd]
1128,*,1.0,airport,n.,机场，场，航空站,[ˈeəpɔːt]
1129,,2.0,station,n.,车站；电台；站，所,[ˈsteɪʃn]
1130,,4.0,truck,n.,卡车，运货车；车皮,[trʌk]
1131,,5.0,driver,n.,司机，驾驶员,[ˈdraɪvə(r)]
1132,,6.0,pilot,n.,飞行员,[ˈpaɪlət]
1133,*,7.0,captain,n.,船长，舰长；队长；（海军）上校,[ˈkæptɪn]
1134,,9.0,passenger,n.,乘客，旅客,[ˈpæsɪndʒə(r)]
1135,*,10.0,accident,n.,事故；意外的事,[ˈæksɪdənt]
1136,,11.0,safe,adj.,安全的,[seɪf]
1137,,12.0,dangerous,adj.,危险的,[ˈdeɪndʒərəs]
1138,,13.0,cross,v.,穿过；越过,[krɒs]
1139,,14.0,sail,n.&v.,航行，开航,[seɪl]
1140,,15.0,drive,v.,驾驶，开（车）；驱赶,[draɪv]
1141,*,16.0,passport,n.,护照,[ˈpɑːspɔːt]
1142,,17.0,ride,v.,骑（马、自行车等）；乘车,[raɪd]
1143,,18.0,fly,n.,飞行；苍蝇 v. （鸟，飞机）飞；（人乘飞机）飞行；（旗子等）,[flaɪ]
1144,,19.0,ship,n.,船，轮船,[ʃɪp]
1145,,20.0,land,v.,登岸（陆）；降落,[lænd]
1146,*,22.0,airplane,n.,（美）飞机,[ˈeəpleɪn]
1147,,23.0,bus,n.,公共汽车,[bʌs]
1148,,25.0,train,n.,火车,[treɪn]
1149,,26.0,car,n.,汽车，小轿车,[kɑː(r)]
1150,,27.0,boat,n.,小船，小舟,[bəʊt]
1151,,28.0,taxi,n.,出租汽车,[ˈtæksi]
1152,*,29.0,underground,n.,地铁,[ˌʌndəˈɡraʊnd]
1153,,35.0,traffic,n.,交通，来往车辆,[ˈtræfɪk]
1154,*,36.0,coach,n.,马车；长途车；教练,[kəʊtʃ]
1155,,37.0,wheel,n.,轮，机轮,[wiːl]
1156,,38.0,way,n.,路线；路，方式，手段,[weɪ]
1157,,39.0,railway,n.,铁路；铁道,[ˈreɪlweɪ]
1158,,41.0,airline,n.,航空公司；航空系统,[ˈeəlaɪn]
1159,,42.0,license,n.,执照，许可证,[ˈlaɪsns]
1160,*,43.0,motorcycle,n.,摩托车,[ˈməʊtəsaɪkl]
1161,,44.0,parking,n.,停车，停车场，停车位,[ˈpɑːkɪŋ]
1162,,45.0,path,n.,小道，小径,[pɑːθ]
1163,*,46.0,vehicle,n.,交通工具，车辆，媒介物,[ˈviːəkl]
1164,*,1.0,direction,n.,方向；方位,[dəˈrekʃn]
1165,,2.0,centre,n.,中心，中央,[ˈsentə(r)]
1166,,3.0,side,n.,边，旁边，面，侧面,[saɪd]
1167,,4.0,front,n.,前面；前线；前部,[frʌnt]
1168,,5.0,middle,n.&adj.,中间(的)；当中；中级,[ˈmɪdl]
1169,,6.0,bottom,n.,底部；底,[ˈbɒtəm]
1170,,7.0,top,n.,顶部，（物体的）上面,[tɒp]
1171,*,8.0,surface,n.,表面,[ˈsɜːfɪs]
1172,,9.0,east,n.&adj.,东方；东方的；东部的；朝东的，从东方来的,[iːst]
1173,,10.0,west,n.&adj.,西部；西方；（在）西的；向西的；从西来的,[west]
1174,,11.0,south,n.&adj.,南；南风；南部，南方;南（方）的；向南的；从南,[saʊθ]
1175,,12.0,north,n.&adj.,北方；北方的,[nɔːθ]
1176,,13.0,at,prep.,在（几点钟）；在（某处）,"[æt , ət]"
1177,,14.0,in,prep.,在……里（内）；在……；以……,[ɪn]
1178,,15.0,on,prep.,在……上（时），关于,[ɒn]
1179,,16.0,above,prep.,在……上面,[əˈbʌv]
1180,*,17.0,upon,prep.,在……上面,[əˈpɒn]
1181,,18.0,over,prep.,越过；在……上方;遍及;结束,[ˈəʊvə(r)]
1182,,19.0,below,prep.,在……下面,[bɪˈləʊ]
1183,,20.0,under,prep.,在……下面,[ˈʌndə(r)]
1184,,21.0,among,prep.,在……中间；在（三个以上）之间,[əˈmʌŋ]
1185,,22.0,between,prep.,在（两者）之间；在……中间,[bɪˈtwiːn]
1186,,23.0,inside,prep.,里面;在（或向）里面,[ˌɪnˈsaɪd]
1187,,24.0,around,prep.,在……周围；大约,[əˈraʊnd]
1188,,25.0,beside,prep.,在……旁边；靠边,[bɪˈsaɪd]
1189,,26.0,behind,prep.,（表示位置）在……后面,[bɪˈhaɪnd]
1190,,27.0,up,adv.,向上；在上方；起来,[ʌp]
1191,,28.0,down,adv.,向下,[daʊn]
1192,,29.0,back,adv.,向后；四（原处）,[bæk]
1193,,30.0,western,adj.,西部的，西方的,[ˈwestən]
1194,,31.0,southern,adj.,南方的，南部的,[ˈsʌðən]
1195,,32.0,northern,adj.,北方的，北部的,[ˈnɔːðən]
1196,,33.0,close,adj.&v.,近，靠近；亲密的；关闭，关,"[kləʊz , kləʊs]"
1197,,34.0,near,adj.,近的;附近的,[nɪə(r)]
1198,,35.0,next,adj.,隔壁的，紧挨着的，最后的;下一次,[nekst]
1199,,36.0,far,adj.,远的,[fɑː(r)]
1200,,37.0,low,adj.,低的；矮的,[ləʊ]
1201,,38.0,left,adj.,左边的 n. 左边，左,[left]
1202,,39.0,right,adj.,对，正确的；右，右边的,[raɪt]
1203,*,40.0,position,n.,位置,[pəˈzɪʃn]
1204,,1.0,post,v.,邮寄；投寄,[pəʊst]
1205,,2.0,send,v.,送，邮寄；打发，派遣,[send]
1206,,3.0,message,n.,音讯，消息,[ˈmesɪdʒ]
1207,,4.0,radio,n.,收音机，无线电,[ˈreɪdiəʊ]
1208,,5.0,tape,n.,磁带；录音带,[teɪp]
1209,,6.0,mail,n.,邮政，邮递,[meɪl]
1210,,1.0,Internet,n.,因特网，互联网,[ˈɪntənet]
1211,,2.0,keyboard,n.,键盘,[ˈkiːbɔːd]
1212,,3.0,copy,n.,抄本，备本；一本（分，册……） v. 复印；抄写（计算机用,[ˈkɒpi]
1213,,4.0,menu,n.,菜单,[ˈmenjuː]
1214,,5.0,screen,n.,荧光屏，幕,[skriːn]
1215,,6.0,search,v.,搜寻，搜查,[sɜːtʃ]
1216,,7.0,computer,n.,电子计算机,[kəmˈpjuːtə(r)]
1217,*,8.0,website,n.,WWW（万唯网）的站点,[ˈwebsaɪt]
1218,,9.0,e,n.,电子邮件; v. 发电子邮件,[iː]
1219,,1.0,knowledge,n.,知识，学问,[ˈnɒlɪdʒ]
1220,,2.0,homework,n.,家庭作业,[ˈhəʊmwɜːk]
1221,,3.0,lesson,n.,功课；教训；课,[ˈlesn]
1222,,4.0,text,n.,文本，课文,[tekst]
1223,*,5.0,unit,n.,单元，单位,[ˈjuːnɪt]
1224,*,6.0,sentence,n.,句子,[ˈsentəns]
1225,,7.0,pronounce,v.,发音,[prəˈnaʊns]
1226,*,8.0,pronunciation,n.,发音,[prəˌnʌnsiˈeɪʃn]
1227,,9.0,language,n.,语言,[ˈlæŋɡwɪdʒ]
1228,*,10.0,skill,n.,"技能,技巧",[skɪl]
1229,,11.0,letter,n.,字母；信,[ˈletə(r)]
1230,,12.0,word,n.,"单词,词；话",[wɜːd]
1231,,13.0,expression,n.,词语；表达；表示；表情,[ɪkˈspreʃn]
1232,*,14.0,grammar,n.,语法,[ˈɡræmə(r)]
1233,*,15.0,composition,n.,作文；作曲,[ˌkɒmpəˈzɪʃn]
1234,,16.0,object,n.,物，物体；宾语,"[ˈɒbdʒɪkt , əbˈdʒekt]"
1235,,17.0,handwriting,n.,书法,[ˈhændraɪtɪŋ]
1236,*,18.0,article,n.,文章；东西，物品；冠词,[ˈɑːtɪkl]
1237,,19.0,riddle,n.,谜，谜语；神秘人物,[ˈrɪdl]
1238,,1.0,teach,v.,教，教书,[tiːtʃ]
1239,,2.0,learn,v.,学；学会,[lɜːn]
1240,,3.0,explain,v.,解释，说明,[ɪkˈspleɪn]
1241,,4.0,experiment,n.,实验,[ɪkˈsperɪmənt]
1242,,5.0,research,n.,研究，调查,[rɪˈsɜːtʃ]
1243,,6.0,practice,n.,练习,[ˈpræktɪs]
1244,,7.0,practise,v.,练习，实践,[ˈpræktɪs]
1245,,8.0,correct,v.,纠正；改正 adj. 正确的，对的；恰当的,[kəˈrekt]
1246,,9.0,attention,n.,注意；关心,[əˈtenʃn]
1247,,10.0,check,v.,检查；批改；校对，核对,[tʃek]
1248,,11.0,mistake,n.,错误，失误 v. 误会；误解；看错,[mɪˈsteɪk]
1249,,13.0,understand,v.,明白；理解；懂得,[ˌʌndəˈstænd]
1250,,14.0,express,v.,表达,[ɪkˈspres]
1251,,15.0,translate,v.,翻译,[trænzˈleɪt]
1252,*,16.0,course,n.,进程；课程；进程,[kɔːs]
1253,,17.0,train,v.,培训，训练,[treɪn]
1254,,18.0,training,n.,培训,[ˈtreɪnɪŋ]
1255,,19.0,create,v.,创造；造成,[kriˈeɪt]
1256,,20.0,task,n.,任务，工作,[tɑːsk]
1257,,21.0,progress,n.,进步，上进,"[ˈprəʊɡres , prəˈɡres]"
1258,,22.0,meaning,n.,含义，意思,[ˈmiːnɪŋ]
1259,,30.0,mark,v.,标明，做记号于,[mɑːk]
1260,,33.0,review,v.,重新调查；回顾；复习,[rɪˈvjuː]
1261,,34.0,spell,v.,拼写,[spel]
1262,,38.0,accent,n.,口音；音调,"[ˈæksent , ækˈsent]"
1263,*,39.0,basic,adj.,基本的,[ˈbeɪsɪk]
